1.,aaa
视网膜,aab
动,aac
静脉充盈,aad
回流时间,aae
正常,aaf
od,aag
;,aah
2.,aai
钟点,aaj
位,aak
3,aal
:,aam
00,aan
~,aao
8,aap
视网膜脱离,aaq
",",aar
脱离,aas
区域,aat
内,aau
斑驳,aav
RPE,aaw
萎缩,aax
3.,aay
颞下,aaz
中周,aba
和,abb
周边,abc
鼻下,abd
斑状,abe
无,abf
灌注,abg
伴,abh
小丛,abi
新生,abj
血管形成,abk
4.,abl
玻璃体混浊,abm
 ,abn
5.,abo
视盘,abp
未见,abq
明显,abr
异常,abs
荧光,abt
.,abu
请,abv
结合,abw
临床,abx
大致,aby
os,abz
视网膜血管,aca
及,acb
各,acc
象限,acd
左眼,ace
FFA,acf
像,acg
黄斑区,ach
拱环,aci
鼻,acj
上方,ack
静脉,acl
期,acm
可见,acn
点状,aco
高,acp
(,acq
色素上皮,acr
损害,acs
?,act
),acu
后期,acv
荧光素,acw
渗漏,acx
扩大,acy
晚期,acz
积存,ada
结构,adb
中浆,adc
时间,add
除,ade
鼻侧,adf
以外,adg
其余,adh
广泛,adi
毛细血管扩张,adj
颞上,adk
部,adl
片状,adm
视网膜缺损,adn
巨大,ado
裂孔,adp
边缘,adq
翻转,adr
造影,ads
轻度,adt
染色,adu
考虑,adv
RRDos,adw
后极部,adx
分散,ady
微,adz
血管瘤,aea
稍,aeb
有,aec
扩张,aed
部分,aee
管壁,aef
荧光染色,aeg
小静脉,aeh
通透性,aei
增加,aej
周围,aek
小,ael
毛细血管,aem
闭塞,aen
区,aeo
水肿,aep
DR,aeq
右眼,aer
ICGA,aes
早期,aet
病灶,aeu
脉络膜,aev
血管,aew
染料,aex
中,aey
周至,aez
陈旧性,afa
建议,afb
定期,afc
观察,afd
多,afe
发动,aff
交叉,afg
压迹,afh
分支,afi
静脉回流,afj
迟缓,afk
壁染,afl
属,afm
微小,afn
弥漫性,afo
多发,afp
斑,afq
形成,afr
血管弓,afs
颞,aft
下,afu
为,afv
甚,afw
黄斑,afx
囊样,afy
杯底,afz
BRVOos,aga
下方,agb
地图,agc
状,agd
局部,age
仅见,agf
粗大,agg
呈,agh
低,agi
大量,agj
玻璃膜,agk
疣,agl
上,agm
表面,agn
周缘,ago
远中周,agp
散在,agq
